fid;id_parcel;SURF;TYPE;code_group;culture_d1;culture_d2;LIB_CULTU;CODE_GROUPE_CULTURE;LIBELLE_GROUPE_CULTURE;COD_MOSUT;LIB_MOSUT;COD_GRPCULT_HVNi1;LIB_GRPCULT_HVNi1;COD_CULT_PSE_i1;LIB_CULT_PSE_i1;COD_CULT_PSE_i2;LIB_CULT_PSE_i2;COD_CAT_CULT_PSE;LIB_CAT_CULT_PSE;COD_STYLE_QGIS;LIB_STYLE;SAU_0_1
2907133;8939323;6,34;PTR;19;;;Autre prairie temporaire de 5 ans ou moins;19;Prairies temporaires;S111222000;Prairies temporaires;PT;Prairies temporaires;PSE0i10003;Prairie temporaire diversifiée;PSE0i20006;Prairie temporaire diversifiée;PSE0CAT0002;Prairies et cultures fourragères;37;Prairie temporaire diversifiée;1
2907636;13757182;6,51;PTR;19;;;Autre prairie temporaire de 5 ans ou moins;19;Prairies temporaires;S111222000;Prairies temporaires;PT;Prairies temporaires;PSE0i10003;Prairie temporaire diversifiée;PSE0i20006;Prairie temporaire diversifiée;PSE0CAT0002;Prairies et cultures fourragères;37;Prairie temporaire diversifiée;1
2907646;13757181;4,69;PTR;19;;;Autre prairie temporaire de 5 ans ou moins;19;Prairies temporaires;S111222000;Prairies temporaires;PT;Prairies temporaires;PSE0i10003;Prairie temporaire diversifiée;PSE0i20006;Prairie temporaire diversifiée;PSE0CAT0002;Prairies et cultures fourragères;37;Prairie temporaire diversifiée;1
2907650;21447486;31,91;PRL;18;;;Prairie en rotation longue (6 ans ou plus);18;Prairies permanentes;S112001000;Prairies naturelles ou semées depuis plus de 6 ans;PPE;Prairies permanentes;PSE0i10003;Prairie temporaire diversifiée;PSE0i20006;Prairie temporaire diversifiée;PSE0CAT0002;Prairies et cultures fourragères;36;Prairie rotation longue;1
2907671;8939324;3,3;PTR;19;;;Autre prairie temporaire de 5 ans ou moins;19;Prairies temporaires;S111222000;Prairies temporaires;PT;Prairies temporaires;PSE0i10003;Prairie temporaire diversifiée;PSE0i20006;Prairie temporaire diversifiée;PSE0CAT0002;Prairies et cultures fourragères;37;Prairie temporaire diversifiée;1
2907718;21447485;4,95;PRL;18;;;Prairie en rotation longue (6 ans ou plus);18;Prairies permanentes;S112001000;Prairies naturelles ou semées depuis plus de 6 ans;PPE;Prairies permanentes;PSE0i10003;Prairie temporaire diversifiée;PSE0i20006;Prairie temporaire diversifiée;PSE0CAT0002;Prairies et cultures fourragères;36;Prairie rotation longue;1
2908388;18671748;4,5;PTR;19;;;Autre prairie temporaire de 5 ans ou moins;19;Prairies temporaires;S111222000;Prairies temporaires;PT;Prairies temporaires;PSE0i10003;Prairie temporaire diversifiée;PSE0i20006;Prairie temporaire diversifiée;PSE0CAT0002;Prairies et cultures fourragères;37;Prairie temporaire diversifiée;1
2908391;18671749;1,32;PTR;19;;;Autre prairie temporaire de 5 ans ou moins;19;Prairies temporaires;S111222000;Prairies temporaires;PT;Prairies temporaires;PSE0i10003;Prairie temporaire diversifiée;PSE0i20006;Prairie temporaire diversifiée;PSE0CAT0002;Prairies et cultures fourragères;37;Prairie temporaire diversifiée;1
2908401;18671750;1,14;PTR;19;;;Autre prairie temporaire de 5 ans ou moins;19;Prairies temporaires;S111222000;Prairies temporaires;PT;Prairies temporaires;PSE0i10003;Prairie temporaire diversifiée;PSE0i20006;Prairie temporaire diversifiée;PSE0CAT0002;Prairies et cultures fourragères;37;Prairie temporaire diversifiée;1
2908402;13757161;5,19;PTR;19;;;Autre prairie temporaire de 5 ans ou moins;19;Prairies temporaires;S111222000;Prairies temporaires;PT;Prairies temporaires;PSE0i10003;Prairie temporaire diversifiée;PSE0i20006;Prairie temporaire diversifiée;PSE0CAT0002;Prairies et cultures fourragères;37;Prairie temporaire diversifiée;1
1;;;;;;;;;;;;;;;;;;;;;;
3;;;;;;;;;;;;;;;;;;;;;;
